Symbol,Full Name,GICS Sector,GICS Sub-Industry,Environment Score,Social Score,Governance Score,Total Esg,Highest Controversy,Percentile,Market Cap,Beta,Overall Risk
FITB,Fifth Third Bank,Financials,Regional Banks,1.41,8.68,7.36,17.44,2,17.32,18683594752.0,1.226832,8
FSLR,First Solar,Information Technology,Semiconductors,3.7,8.73,6.2,6.21,2,29.85,18593935360.0,1.395573,7
FE,FirstEnergy,Utilities,Electric Utilities,12.96,9.72,6.84,29.51,3,63.42,21162790912.0,0.452282,3
FIS,FIS,Financials,Transaction & Payment Processing Services,1.27,11.14,5.68,18.08,1,19.08,33711261696.0,0.839211,6
FI,Fiserv,Financials,Transaction & Payment Processing Services,3.7,8.73,6.2,6.21,2,29.85,73793896448.0,0.877593,2
FLT,Fleetcor,Financials,Transaction & Payment Processing Services,2.88,9.08,6.16,18.11,2,19.53,20239935488.0,1.199515,9
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,16.18,9.09,7.47,32.74,2,74.11,9436127232.0,0.823305,5
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,9.27,11.34,9.35,29.95,3,63.41,50468118528.0,1.627247,10
FTNT,Fortinet,Information Technology,Systems Software,1.23,12.19,5.71,19.13,1,22.85,47921266688.0,1.158367,8
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,16.09,13.97,4.7,34.76,1,79.76,26750302208.0,1.191562,7
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,3.7,8.73,6.2,6.21,2,29.85,15009230848.0,0.869322,10
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,3.7,8.73,6.2,6.21,2,29.85,14967464960.0,0.869322,10
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,1.12,9.88,7.18,18.18,2,19.8,13098172416.0,1.318118,6
FCX,Freeport-McMoRan,Materials,Copper,16.56,10.15,5.22,31.94,4,71.73,58320113664.0,2.065006,3
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,5.4,7.86,5.28,18.54,2,20.87,20316887040.0,0.923928,8
IT,Gartner,Information Technology,IT Consulting & Other Services,0.13,15.44,6.2,21.78,1,32.08,27599857664.0,1.241701,1
GEHC,GE HealthCare,Health Care,Health Care Technology,3.7,8.73,6.2,6.21,2,29.85,30214889472.0,1.059647,6
GEN,Gen Digital,Information Technology,Application Software,0.7,9.47,4.81,14.98,2,10.17,12174918656.0,1.069847,1
GNRC,Generac,Industrials,Electrical Components & Equipment,3.7,8.73,6.2,6.21,2,29.85,6950630912.0,1.275933,8
